Index	Plate	Row	Col	LC_Position	Date	Signature	Sample_name	Compound	Timepoint	Well_Type	LC_Well_Type	Replicate	Sample_text
1	3	A	1	3:A,1						blank	blank		blank
2	3	A	2	3:A,2						blank	blank		blank
3	3	A	3	3:A,3						blank	blank		blank
4	3	A	4	3:A,4						blank	blank		blank
5	3	A	5	3:A,5						blank	blank		blank
6	3	A	6	3:A,6						blank	blank		blank
7	3	A	7	3:A,7						blank	blank		blank
8	3	A	8	3:A,8						blank	blank		blank
9	3	A	9	3:A,9						blank	blank		blank
10	3	A	10	3:A,10						blank	blank		blank
11	3	A	11	3:A,11						blank	blank		blank
12	3	A	12	3:A,12						blank	blank		blank
13	3	B	1	3:B,1						blank	blank		blank
14	3	B	2	3:B,2						blank	blank		blank
15	3	B	3	3:B,3						blank	blank		blank
16	3	B	4	3:B,4						blank	blank		blank
17	3	B	5	3:B,5						blank	blank		blank
18	3	B	6	3:B,6						blank	blank		blank
19	3	B	7	3:B,7						blank	blank		blank
20	3	B	8	3:B,8						blank	blank		blank
21	3	B	9	3:B,9						blank	blank		blank
22	3	B	10	3:B,10						blank	blank		blank
23	3	B	11	3:B,11						blank	blank		blank
24	3	B	12	3:B,12						blank	blank		blank
25	3	C	1	3:C,1						blank	blank		blank
26	3	C	2	3:C,2						blank	blank		blank
27	3	C	3	3:C,3						blank	blank		blank
28	3	C	4	3:C,4						blank	blank		blank
29	3	C	5	3:C,5						blank	blank		blank
30	3	C	6	3:C,6						blank	blank		blank
31	3	C	7	3:C,7						blank	blank		blank
32	3	C	8	3:C,8						blank	blank		blank
33	3	C	9	3:C,9						blank	blank		blank
34	3	C	10	3:C,10						blank	blank		blank
35	3	C	11	3:C,11						blank	blank		blank
36	3	C	12	3:C,12						blank	blank		blank
37	3	D	1	3:D,1						blank	blank		blank
38	3	D	2	3:D,2						blank	blank		blank
39	3	D	3	3:D,3						blank	blank		blank
40	3	D	4	3:D,4						blank	blank		blank
41	3	D	5	3:D,5						blank	blank		blank
42	3	D	6	3:D,6						blank	blank		blank
43	3	D	7	3:D,7						blank	blank		blank
44	3	D	8	3:D,8						blank	blank		blank
45	3	D	9	3:D,9						blank	blank		blank
46	3	D	10	3:D,10						blank	blank		blank
47	3	D	11	3:D,11						blank	blank		blank
48	3	D	12	3:D,12						blank	blank		blank
49	3	E	1	3:E,1						blank	blank		blank
50	3	E	2	3:E,2						blank	blank		blank
51	3	E	3	3:E,3						blank	blank		blank
52	3	E	4	3:E,4						blank	blank		blank
53	3	E	5	3:E,5						blank	blank		blank
54	3	E	6	3:E,6						blank	blank		blank
55	3	E	7	3:E,7						blank	blank		blank
56	3	E	8	3:E,8						blank	blank		blank
57	3	E	9	3:E,9						blank	blank		blank
58	3	E	10	3:E,10						blank	blank		blank
59	3	E	11	3:E,11						blank	blank		blank
60	3	E	12	3:E,12						blank	blank		blank
61	3	F	1	3:F,1						blank	blank		blank
62	3	F	2	3:F,2						blank	blank		blank
63	3	F	3	3:F,3						blank	blank		blank
64	3	F	4	3:F,4						blank	blank		blank
65	3	F	5	3:F,5						blank	blank		blank
66	3	F	6	3:F,6						blank	blank		blank
67	3	F	7	3:F,7						blank	blank		blank
68	3	F	8	3:F,8						blank	blank		blank
69	3	F	9	3:F,9						blank	blank		blank
70	3	F	10	3:F,10						blank	blank		blank
71	3	F	11	3:F,11						blank	blank		blank
72	3	F	12	3:F,12						blank	blank		blank
73	3	G	1	3:G,1						blank	blank		blank
74	3	G	2	3:G,2						blank	blank		blank
75	3	G	3	3:G,3						blank	blank		blank
76	3	G	4	3:G,4						blank	blank		blank
77	3	G	5	3:G,5						blank	blank		blank
78	3	G	6	3:G,6						blank	blank		blank
79	3	G	7	3:G,7						blank	blank		blank
80	3	G	8	3:G,8						blank	blank		blank
81	3	G	9	3:G,9						blank	blank		blank
82	3	G	10	3:G,10						blank	blank		blank
83	3	G	11	3:G,11						blank	blank		blank
84	3	G	12	3:G,12						blank	blank		blank
85	3	H	1	3:H,1						blank	blank		blank
86	3	H	2	3:H,2						blank	blank		blank
87	3	H	3	3:H,3						blank	blank		blank
88	3	H	4	3:H,4						blank	blank		blank
89	3	H	5	3:H,5						blank	blank		blank
90	3	H	6	3:H,6						blank	blank		blank
91	3	H	7	3:H,7						blank	blank		blank
92	3	H	8	3:H,8						blank	blank		blank
93	3	H	9	3:H,9						blank	blank		blank
94	3	H	10	3:H,10						blank	blank		blank
95	3	H	11	3:H,11						blank	blank		blank
96	3	H	12	3:H,12						blank	blank		blank
97	4	A	1	4:A,1						blank	blank		blank
98	4	A	2	4:A,2						blank	blank		blank
99	4	A	3	4:A,3						blank	blank		blank
100	4	A	4	4:A,4						blank	blank		blank
101	4	A	5	4:A,5						blank	blank		blank
102	4	A	6	4:A,6						blank	blank		blank
103	4	A	7	4:A,7						blank	blank		blank
104	4	A	8	4:A,8						blank	blank		blank
105	4	A	9	4:A,9						blank	blank		blank
106	4	A	10	4:A,10						blank	blank		blank
107	4	A	11	4:A,11						blank	blank		blank
108	4	A	12	4:A,12						blank	blank		blank
109	4	B	1	4:B,1						blank	blank		blank
110	4	B	2	4:B,2						blank	blank		blank
111	4	B	3	4:B,3						blank	blank		blank
112	4	B	4	4:B,4						blank	blank		blank
113	4	B	5	4:B,5						blank	blank		blank
114	4	B	6	4:B,6						blank	blank		blank
115	4	B	7	4:B,7						blank	blank		blank
116	4	B	8	4:B,8						blank	blank		blank
117	4	B	9	4:B,9						blank	blank		blank
